State,Population,Total_Property_Crimes,Property_Crime_Rate,Burglary,Burglary_Rate,Larceny,Larceny_Rate,Vehicle_Theft,Vehicle_Theft_Rate,Vandalism,Vandalism_Rate
Total,278449430,7091665,2546.84127,682098,244.9629723,3863371,1387.458757,892390,320.4854828,1653806,593.9340583
Alabama,4715066,109776,2328.196466,11313,239.9330147,62418,1323.799073,9036,191.6410078,27009,572.8233709
Alaska,443171,8260,1863.840369,887,200.1484754,3974,896.719325,770,173.747831,2629,593.2247372
Arizona,4649268,100891,2170.040531,9226,198.4398404,58448,1257.144135,8819,189.6857742,24398,524.7707811
Arkansas,2981249,92890,3115.808173,12206,409.4257139,51065,1712.872692,6476,217.2243915,23143,776.2853757
California,25009663,642503,2569.019023,73052,292.0950994,332143,1328.058679,102914,411.4969482,134394,537.3682964
Colorado,5822451,225182,3867.477803,20256,347.8947268,112982,1940.454286,37832,649.7607279,54112,929.3680617
Connecticut,3617176,77333,2137.938547,4593,126.9775095,41824,1156.261127,10393,287.3235917,20523,567.3763179
Delaware,1031890,29438,2852.82346,1891,183.2559672,15791,1530.298772,2307,223.5703418,9449,915.6983787
District of Columbia,678972,47725,7029.00856,1685,248.1692912,20681,3045.928256,7411,1091.503037,17948,2643.407976
Florida,9583627,172263,1797.471876,14438,150.6527748,115881,1209.155991,12743,132.9663602,29201,304.69675
Georgia,10098610,219696,2175.507322,20327,201.2851274,130880,1296.019947,24119,238.8348495,44370,439.3673981
Hawaii,1270885,21169,1665.689657,2092,164.6097011,15007,1180.830681,3171,249.5111674,899,70.7381077
Idaho,1957679,22083,1128.019456,2678,136.794643,11850,605.3086333,1495,76.36594151,6060,309.5502378
Illinois,11210798,297370,2652.531961,26135,233.1234583,135172,1205.730404,41521,370.3661416,94542,843.3119569
Indiana,5854222,107760,1840.722815,12697,216.8862062,69775,1191.874855,15126,258.377629,10162,173.5841244
Iowa,2998687,59903,1997.640968,6742,224.8317347,33384,1113.287249,5191,173.1090974,14586,486.4128867
Kansas,2705648,81619,3016.615613,7019,259.4202941,42449,1568.903272,6477,239.3881244,25674,948.9039225
Kentucky,4524497,94145,2080.783787,10474,231.4953463,49697,1098.398341,12949,286.1975596,21025,464.6925393
Louisiana,3423421,101857,2975.298685,14315,418.1489802,58315,1703.413048,8636,252.2622838,20591,601.4743731
Maine,1395722,21173,1516.992639,1540,110.3371588,13322,954.4880714,1091,78.16742876,5220,373.9999799
Maryland,5986435,171331,2861.987143,11145,186.1709014,83339,1392.130709,33294,556.1573791,43553,727.5281532
Massachusetts,6971044,107196,1537.732368,9157,131.357656,61483,881.976932,8291,118.9348396,28265,405.4629407
Michigan,9517887,202309,2125.566315,19934,209.4372417,105428,1107.682829,27597,289.948809,49350,518.4974354
Minnesota,5732979,126944,2214.276382,10426,181.8600766,72745,1268.88656,15443,269.3712989,28330,494.1584471
Mississippi,1711605,31949,1866.610579,4602,268.8704462,17638,1030.49477,2789,162.9464742,6920,404.2988891
Missouri,6100091,174814,2865.760527,15100,247.5372908,86545,1418.749327,29132,477.5666461,44037,721.9072634
Montana,1131954,28632,2529.431408,1943,171.6500847,17509,1546.794304,2159,190.7321322,7021,620.2548867
Nebraska,1902679,39645,2083.641014,2372,124.6663257,20375,1070.858511,4677,245.8113008,12221,642.3048764
Nevada,3181298,106871,3359.352063,12848,403.8603111,48116,1512.464409,21719,682.708756,24188,760.3185869
New Hampshire,1361616,18373,1349.352534,708,51.99703881,10293,755.9400007,770,56.55045182,6602,484.8650427
New Jersey,6291305,119534,1899.987364,9238,146.8375798,74484,1183.919711,13152,209.0504275,22660,360.1796448
New Mexico,1885968,85269,4521.232598,9988,529.595412,38824,2058.571513,10607,562.4167536,25850,1370.648919
New York,13603665,388216,2853.760365,23022,169.2338057,235644,1732.209666,32027,235.4292024,97523,716.8876917
North Carolina,10421456,276142,2649.744911,34233,328.4857701,156319,1499.972749,27077,259.8197411,58513,561.4666511
North Dakota,783926,19648,2506.359019,2400,306.1513459,11245,1434.446619,1707,217.7501448,4296,548.0109092
Ohio,11239743,256314,2280.425807,25608,227.8343909,134899,1200.196481,30593,272.1859388,65214,580.2089959
Oklahoma,4053824,109272,2695.528962,18100,446.4920036,59248,1461.533604,10787,266.0944333,21137,521.4089216
Oregon,4175772,145082,3474.375517,14014,335.6026143,79850,1912.221261,17432,417.4557423,33786,809.0958989
Pennsylvania,5502689,156398,2842.210417,10232,185.9454532,77093,1401.005945,26280,477.5846863,42793,777.6743334
Rhode Island,1094548,18283,1670.36987,1323,120.8718119,9616,878.5361629,1510,137.9564898,5834,533.005405
South Carolina,5363912,151939,2832.615449,16614,309.7366251,88516,1650.213501,13314,248.214363,33495,624.4509604
South Dakota,844189,19683,2331.586884,1836,217.4868424,11003,1303.381115,2136,253.0239082,4708,557.6950185
Tennessee,7121949,217782,3057.898898,21066,295.7898182,117251,1646.333047,32161,451.5758257,47304,664.200207
Texas,30161963,852500,2826.407552,88315,292.8025606,472786,1567.490816,123806,410.4706315,167593,555.6435435
Utah,3399787,78144,2298.496935,5472,160.9512596,45674,1343.437104,5035,148.0975132,21963,646.0110589
Vermont,647464,14555,2248.001433,902,139.3127649,10263,1585.107435,585,90.35251381,2805,433.2287201
Virginia,8715117,196908,2259.38447,10500,120.4803102,121242,1391.168931,14858,170.4853762,50308,577.2498522
Washington,7758180,313566,4041.746905,36289,467.7514572,145166,1871.134725,52809,680.6879964,79302,1022.172726
West Virginia,1555284,24957,1604.658699,2833,182.1532273,15182,976.1561233,1526,98.11712845,5416,348.23222
Wisconsin,5743277,95535,1663.423164,7255,126.3216105,54170,943.1897504,9895,172.2883991,24215,421.6234042
Wyoming,515122,10838,2103.967604,1057,205.1941094,6367,1236.017875,745,144.6259333,2669,518.1296858
